SCENARIO,DOC_NUM,SAKNR,TXT50,MATNR,AMOUNT,SHKZG,DATE
销售发货,8178095898,1405010000,库存商品-产成品,50009304,-4.27,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50009304,4.27,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50009304,-17.1,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50009304,17.1,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50009304,-17.1,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50009304,17.1,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50009542,-10.97,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50009542,10.97,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50009957,-23.52,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50009957,23.52,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50010064,-15.62,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50010064,15.62,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50010064,-7.81,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50010064,7.81,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50010064,-15.62,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50010064,15.62,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50010064,-15.62,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50010064,15.62,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50011012,-4.6,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50011012,4.6,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50011808,-9.82,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50011808,9.82,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50011808,-9.82,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50011808,9.82,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50011998,-12.58,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50011998,12.58,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50011998,-15.09,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50011998,15.09,S,2026-06-01
销售发货,8178095898,1405020000,库存商品-外购商品,50011952,-11.2,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50011952,11.2,S,2026-06-01
销售成本结转,8174291462,1405010000,库存商品-产成品,50003338,-13.21,H,2026-06-01
销售成本结转,8174291462,6401000000,主营业务成本,50003338,13.21,S,2026-06-01
销售成本结转,8174291462,1405010000,库存商品-产成品,50002261,-54.18,H,2026-06-01
销售成本结转,8174291462,6401000000,主营业务成本,50002261,54.18,S,2026-06-01
采购收货,500002312,1403010000,原材料-原辅料,,"132,080.00",S,2026-06-24
采购收货,500002312,2202030100,应付账款-暂估GR/IR,,"108,966.00-",H,2026-06-24
采购收货,500002312,1403999999,原材料差异,,"23,114.00-",H,2026-06-24
生产领料,4900281886,1405010000,库存商品-产成品,50001280,164.44-,H,2026-06-18
生产领料,4900281886,5401000000,主营业务成本,50001280,164.44,S,2026-06-18
生产领料,4900281886,1405010000,库存商品-产成品,50001285,9.78-,H,2026-06-18
生产领料,4900281886,5401000000,主营业务成本,50001285,9.78,S,2026-06-18
生产领料,4900281886,1405010000,库存商品-产成品,50001285,10.86一,H,2026-06-18
生产领料,4900281886,401000000,主营止务,50001285,10.86,S,2026-06-18
生产领料,4900281886,1405010000,库存商品-产成品,50001285,10.86-,H,2026-06-18
生产领料,4900281886,5401000000,主营止务,50001285,10.86,S,2026-06-18
生产领料,4900281886,1405010000,库存商品-产成品,50001285,5.52,S,2026-06-18
生产领料,4900281886,5401000000,主营业务成本,50001285,5.52,S,2026-06-18
生产领料,4900281886,1405010000,库存商品-产成品,50001285,6.52-,H,2026-06-18
生产领料,4900281886,5401000000,主营业务成本,50001285,6.52,S,2026-06-18
生产领料,4900281886,1405010000,库存商品-产成品,50001332,21.81,S,2026-06-18
生产领料,4900281886,5401000000,主营业务成本,50001332,21.81,S,2026-06-18
生产领料,4900281886,1405010000,库存商品-产成品,50003428,48.23-,H,2026-06-18
生产领料,4900281886,6401000000,主营业务成本,50003428,48.23,S,2026-06-18
生产领料,4900281886,1405010000,库存商品-产成品,50004332,11.47-,H,2026-06-18
