MANDT,SPRAS,KTOPL,SAKNR,TXT20,TXT50,MCOD1
800,1,4000,1002010510,银行存款-人民币-工商银行-一般户1,银行存款-人民币-工商银行-一般户1,银行存款-人民币-工商银行-一般户1
800,1,4000,1002010511,银行存款-人民币-工商银行-一般户2,银行存款-人民币-工商银行-一般户2,银行存款-人民币-工商银行-一般户2
800,1,4000,1002010520,银行存款-人民币-工商银行-专用户1,银行存款-人民币-工商银行-专用户1,银行存款-人民币-工商银行-专用户1
800,1,4000,1002010601,银行存款-人民币-中信实业银行-基本户,银行存款-人民币-中信实业银行-基本户,银行存款-人民币-中信实业银行-基本户
800,1,4000,1002010602,银行存款-人民币-中信实业银行-贷款户,银行存款-人民币-中信实业银行-贷款户,银行存款-人民币-中信实业银行-贷款户
800,1,4000,1002010603,银行存款-人民币-中信实业银行-保证金户,银行存款-人民币-中信实业银行-保证金户,银行存款-人民币-中信实业银行-保证金户
800,1,4000,1002010604,银行存款-人民币-中信银行-保证金户2,银行存款-人民币-中信银行-保证金户2,银行存款-人民币-中信银行-保证金户2
800,1,4000,1002010605,银行存款-人民币-中信银行-保证金户3,银行存款-人民币-中信银行-保证金户3,银行存款-人民币-中信银行-保证金户3
800,1,4000,1002010606,银行存款-人民币-中信银行-保证金户4,银行存款-人民币-中信银行-保证金户4,银行存款-人民币-中信银行-保证金户4
800,1,4000,1002010607,银行存款-人民币-中信银行-保证金户5,银行存款-人民币-中信银行-保证金户5,银行存款-人民币-中信银行-保证金户5
800,1,4000,1002010608,银行存款-人民币-中信银行-保证金户6,银行存款-人民币-中信银行-保证金户6,银行存款-人民币-中信银行-保证金户6
800,1,4000,1002010609,银行存款-人民币-中信银行-保证金户7,银行存款-人民币-中信银行-保证金户7,银行存款-人民币-中信银行-保证金户7
800,1,4000,1002010610,银行存款-人民币-中信银行-一般户1,银行存款-人民币-中信银行-一般户1,银行存款-人民币-中信银行-一般户1
800,1,4000,1002010611,银行存款-人民币-中信实业银行-一般户2,银行存款-人民币-中信实业银行-一般户2,银行存款-人民币-中信实业银行-一般户2
800,1,4000,1002010612,银行存款-人民币-中信实业银行-一般户3,银行存款-人民币-中信实业银行-一般户3,银行存款-人民币-中信实业银行-一般户3
800,1,4000,1002010620,银行存款-人民币-中信实业银行-专用户,银行存款-人民币-中信实业银行-专用户,银行存款-人民币-中信实业银行-专用户
800,1,4000,1002010621,银行存款-人民币-中信银行-专用户2,银行存款-人民币-中信银行-专用户2,银行存款-人民币-中信银行-专用户2
800,1,4000,1002010640,银行存款-人民币-中信银行-保证金户8,银行存款-人民币-中信银行-保证金户8,银行存款-人民币-中信银行-保证金户8
800,1,4000,1002010641,银行存款-人民币-中信银行-保证金户9,银行存款-人民币-中信银行-保证金户9,银行存款-人民币-中信银行-保证金户9
800,1,4000,1002010642,银行存款-人民币-中信银行-保证金户10,银行存款-人民币-中信银行-保证金户10,银行存款-人民币-中信银行-保证金户10
800,1,4000,1002010643,银行存款-人民币-中信银行-保证金户11,银行存款-人民币-中信银行-保证金户11,银行存款-人民币-中信银行-保证金户11
800,1,4000,1002010644,银行存款-人民币-中信银行-保证金户12,银行存款-人民币-中信银行-保证金户12,银行存款-人民币-中信银行-保证金户12
800,1,4000,1002010645,银行存款-人民币-中信银行-保证金户13,银行存款-人民币-中信银行-保证金户13,银行存款-人民币-中信银行-保证金户13
800,1,4000,1002010646,银行存款-人民币-中信银行-保证金户14,银行存款-人民币-中信银行-保证金户14,银行存款-人民币-中信银行-保证金户14
800,1,4000,1002010647,银行存款-人民币-中信银行-保证金户15,银行存款-人民币-中信银行-保证金户15,银行存款-人民币-中信银行-保证金户15
800,1,4000,1002010648,银行存款-人民币-中信银行-保证金户16,银行存款-人民币-中信银行-保证金户16,银行存款-人民币-中信银行-保证金户16
800,1,4000,1002010710,银行存款-人民币-光大银行-一般户1,银行存款-人民币-光大银行-一般户1,银行存款-人民币-光大银行-一般户1
800,1,4000,1002010730,银行存款-人民币-光大银行-结构性账户,银行存款-人民币-光大银行-结构性账户,银行存款-人民币-光大银行-结构性账户
800,1,4000,1002010801,银行存款-人民币-兴业银行-基本户,银行存款-人民币-兴业银行-基本户,银行存款-人民币-兴业银行-基本户
800,1,4000,1002010810,银行存款-人民币-兴业银行-一般户1,银行存款-人民币-兴业银行-一般户1,银行存款-人民币-兴业银行-一般户1
800,1,4000,1002010811,银行存款-人民币-兴业银行-一般户2,银行存款-人民币-兴业银行-一般户2,银行存款-人民币-兴业银行-一般户2
800,1,4000,1002010830,银行存款-人民币-兴业银行-结构性账户,银行存款-人民币-兴业银行-结构性账户,银行存款-人民币-兴业银行-结构性账户
800,1,4000,1002010901,银行存款-人民币-民生银行-基本户1,银行存款-人民币-民生银行-基本户1,银行存款-人民币-民生银行-基本户1
800,1,4000,1002010903,银行存款-人民币-民生银行-保证金户,银行存款-人民币-民生银行-保证金户,银行存款-人民币-民生银行-保证金户
800,1,4000,1002010910,银行存款-人民币-民生银行-一般户1,银行存款-人民币-民生银行-一般户1,银行存款-人民币-民生银行-一般户1
800,1,4000,1002010911,银行存款-人民币-民生银行-一般户2,银行存款-人民币-民生银行-一般户2,银行存款-人民币-民生银行-一般户2
800,1,4000,1002011001,银行存款-人民币-招商银行-基本户,银行存款-人民币-招商银行-基本户,银行存款-人民币-招商银行-基本户
800,1,4000,1002011002,银行存款-人民币-招商银行-贷款户,银行存款-人民币-招商银行-贷款户,银行存款-人民币-招商银行-贷款户
800,1,4000,1002011010,银行存款-人民币-招商银行-一般户1,银行存款-人民币-招商银行-一般户1,银行存款-人民币-招商银行-一般户1
800,1,4000,1002011011,银行存款-人民币-招商银行-一般户2,银行存款-人民币-招商银行-一般户2,银行存款-人民币-招商银行-一般户2
800,1,4000,1002011012,银行存款-人民币-招商银行-一般户3,银行存款-人民币-招商银行-一般户3,银行存款-人民币-招商银行-一般户3
800,1,4000,1002011060,银行存款-人民币-招商银行-定期存款户1,银行存款-人民币-招商银行-定期存款户1,银行存款-人民币-招商银行-定期存款户1
800,1,4000,1002011110,银行存款-人民币-华夏银行-一般户,银行存款-人民币-华夏银行-一般户,银行存款-人民币-华夏银行-一般户
800,1,4000,1002011120,银行存款-人民币-华夏银行-专用户1,银行存款-人民币-华夏银行-专用户1,银行存款-人民币-华夏银行-专用户1
800,1,4000,1002011201,银行存款-人民币-上海浦发银行-一般户1,银行存款-人民币-上海浦发银行-一般户1,银行存款-人民币-上海浦发银行-一般户1
800,1,4000,1002011202,银行存款-人民币-上海浦发银行-一般户2,银行存款-人民币-上海浦发银行-一般户2,银行存款-人民币-上海浦发银行-一般户2
800,1,4000,1002011601,银行存款-人民币-农业发展银行-基本户,银行存款-人民币-农业发展银行-基本户,银行存款-人民币-农业发展银行-基本户
800,1,4000,1002011602,银行存款-人民币-农业发展银行-贷款户,银行存款-人民币-农业发展银行-贷款户,银行存款-人民币-农业发展银行-贷款户
800,1,4000,1002011610,银行存款-人民币-农业发展银行-一般户1,银行存款-人民币-农业发展银行-一般户1,银行存款-人民币-农业发展银行-一般户1
800,1,4000,1002011710,银行存款-人民币-信用社-一般户1,银行存款-人民币-信用社-一般户1,银行存款-人民币-信用社-一般户1
800,1,4000,1002011711,银行存款-人民币-信用社-一般户2,银行存款-人民币-信用社-一般户2,银行存款-人民币-信用社-一般户2
800,1,4000,1002011720,银行存款-人民币-信用社-专用户1,银行存款-人民币-信用社-专用户1,银行存款-人民币-信用社-专用户1
800,1,4000,1002011803,银行存款-人民币-邮政储蓄银行-保证金户,银行存款-人民币-邮政储蓄银行-保证金户1,银行存款-人民币-邮政储蓄银行-保证金户1
800,1,4000,1002011810,银行存款-人民币-邮政储蓄银行-一般户1,银行存款-人民币-邮政储蓄银行-一般户1,银行存款-人民币-邮政储蓄银行-一般户1
800,1,4000,1002011811,银行存款-人民币-邮政储蓄银行-一般户2,银行存款-人民币-邮政储蓄银行-一般户2,银行存款-人民币-邮政储蓄银行-一般户2
800,1,4000,1002012010,银行存款-人民币-花旗银行-一般户1,银行存款-人民币-花旗银行-一般户1,银行存款-人民币-花旗银行-一般户1
800,1,4000,1002012202,银行存款-人民币-汇丰银行-贷款户,银行存款-人民币-汇丰银行-贷款户,银行存款-人民币-汇丰银行-贷款户
800,1,4000,1002012203,银行存款-人民币-汇丰银行-保证金户,银行存款-人民币-汇丰银行-保证金户,银行存款-人民币-汇丰银行-保证金户
800,1,4000,1002012210,银行存款-人民币-汇丰银行-一般户1,银行存款-人民币-汇丰银行-一般户1,银行存款-人民币-汇丰银行-一般户1
800,1,4000,1002012211,银行存款-人民币-汇丰银行-一般户2,银行存款-人民币-汇丰银行-一般户2,银行存款-人民币-汇丰银行-一般户2
800,1,4000,1002012220,银行存款-人民币-汇丰银行-专用户,银行存款-人民币-汇丰银行-专用户,银行存款-人民币-汇丰银行-专用户
800,1,4000,1002012240,银行存款-人民币-汇丰银行-FTN户,银行存款-人民币-汇丰银行-FTN户,银行存款-人民币-汇丰银行-FTN户
800,1,4000,1002013010,银行存款-人民币-成都银行-一般户1,银行存款-人民币-成都银行-一般户1,银行存款-人民币-成都银行-一般户1
800,1,4000,1002013011,银行存款-人民币-成都银行-一般户2,银行存款-人民币-成都银行-一般户2,银行存款-人民币-成都银行-一般户2
800,1,4000,1002013012,银行存款-人民币-成都银行-一般户3,银行存款-人民币-成都银行-一般户3,银行存款-人民币-成都银行-一般户3
800,1,4000,1002013020,银行存款-人民币-成都银行-专用户1,银行存款-人民币-成都银行-专用户1,银行存款-人民币-成都银行-专用户1
800,1,4000,1002013120,银行存款-人民币-富滇银行-专用户1,银行存款-人民币-富滇银行-专用户1,银行存款-人民币-富滇银行-专用户1
800,1,4000,1002013201,银行存款-人民币-农村合作银行-基本户,银行存款-人民币-农村合作银行-基本户,银行存款-人民币-农村合作银行-基本户
800,1,4000,1002013210,银行存款-人民币-农村合作银行-一般户1,银行存款-人民币-农村合作银行-一般户1,银行存款-人民币-农村合作银行-一般户1
800,1,4000,1002013310,银行存款-人民币-广东发展银行-一般户1,银行存款-人民币-广东发展银行-一般户1,银行存款-人民币-广东发展银行-一般户1
800,1,4000,1002013510,银行存款-人民币-南洋商业银行-一般户1,银行存款-人民币-南洋商业银行-一般户1,银行存款-人民币-南洋商业银行-一般户1
800,1,4000,1002013610,银行存款-人民币-德意志银行-一般户1,银行存款-人民币-德意志银行-一般户1,银行存款-人民币-德意志银行-一般户1
800,1,4000,1002013611,银行存款-人民币-德意志银行-一般户2,银行存款-人民币-德意志银行-一般户2,银行存款-人民币-德意志银行-一般户2
800,1,4000,1002013710,银行存款-人民币-大华银行-一般户1,银行存款-人民币-大华银行-一般户1,银行存款-人民币-大华银行-一般户1
800,1,4000,1002013810,银行存款-人民币-平安银行-一般户1,银行存款-人民币-平安银行-一般户1,银行存款-人民币-平安银行-一般户1
800,1,4000,1002013811,银行存款-人民币-平安银行-一般户2,银行存款-人民币-平安银行-一般户2,银行存款-人民币-平安银行-一般户2
800,1,4000,1002013820,银行存款-人民币-平安银行-专用户1,银行存款-人民币-平安银行-专用户1,银行存款-人民币-平安银行-专用户1
800,1,4000,1002013830,银行存款-人民币-平安银行-结构性存款,银行存款-人民币-平安银行-结构性存款,银行存款-人民币-平安银行-结构性存款
800,1,4000,1002013910,银行存款-人民币-国家开发银行-一般户1,银行存款-人民币-国家开发银行-一般户1,银行存款-人民币-国家开发银行-一般户1
800,1,4000,1002014010,银行存款-人民币-进出口银行-一般户1,银行存款-人民币-进出口银行-一般户1,银行存款-人民币-进出口银行-一般户1
800,1,4000,1002014110,银行存款-人民币-瑞穗银行-一般户1,银行存款-人民币-瑞穗银行-一般户1,银行存款-人民币-瑞穗银行-一般户1
800,1,4000,1002014210,银行存款-人民币-广发银行-一般户1,银行存款-人民币-广发银行-一般户1,银行存款-人民币-广发银行-一般户1
800,1,4000,1002014310,银行存款-人民币-浙商银行-一般户1,银行存款-人民币-浙商银行-一般户1,银行存款-人民币-浙商银行-一般户1
800,1,4000,1002014510,银行存款-人民币-成都农商银行-一般户1,银行存款-人民币-成都农商银行-一般户1,银行存款-人民币-成都农商银行-一般户1
800,1,4000,1002014610,银行存款-人民币-渣打银行-一般户1,银行存款-人民币-渣打银行-一般户1,银行存款-人民币-渣打银行-一般户1
800,1,4000,1002014611,银行存款-人民币-渣打银行-一般户2,银行存款-人民币-渣打银行-一般户2,银行存款-人民币-渣打银行-一般户2
800,1,4000,1002014703,银行存款-人民币-宁夏银行-保证金户,银行存款-人民币-宁夏银行-保证金户,银行存款-人民币-宁夏银行-保证金户
800,1,4000,1002014710,银行存款-人民币-宁夏银行-一般户1,银行存款-人民币-宁夏银行-一般户1,银行存款-人民币-宁夏银行-一般户1
800,1,4000,1002014810,银行存款-人民币-宁波银行-一般户1,银行存款-人民币-宁波银行-一般户1,银行存款-人民币-宁波银行-一般户1
800,1,4000,1002014910,银行存款-人民币-农村商业银行-一般户1,银行存款-人民币-农村商业银行-一般户1,银行存款-人民币-农村商业银行-一般户1
800,1,4000,1002014920,银行存款-人民币-农村商业银行-专用户1,银行存款-人民币-农村商业银行-专用户1,银行存款-人民币-农村商业银行-专用户1
800,1,4000,1002015010,银行存款-人民币-上海银行-一般户1,银行存款-人民币-上海银行-一般户1,银行存款-人民币-上海银行-一般户1
800,1,4000,1002015110,银行存款-人民币-四川银行-一般户1,银行存款-人民币-四川银行-一般户1,银行存款-人民币-四川银行-一般户1
800,1,4000,1002015210,银行存款-人民币-徽商银行-一般户1,银行存款-人民币-徽商银行-一般户1,银行存款-人民币-徽商银行-一般户1
800,1,4000,1002015310,银行存款-人民币-渤海银行-一般户1,银行存款-人民币-渤海银行-一般户1,银行存款-人民币-渤海银行-一般户1
800,1,4000,1002015320,银行存款-人民币-渤海银行-大额存单户,银行存款-人民币-渤海银行-大额存单户,银行存款-人民币-渤海银行-大额存单户
800,1,4000,1002015410,银行存款-人民币-日照银行-一般户1,银行存款-人民币-日照银行-一般户1,银行存款-人民币-日照银行-一般户1
800,1,4000,1002015500,银行存款-新希望财务公司资金平台,银行存款-新希望财务公司资金平台,银行存款-新希望财务公司资金平台
800,1,4000,1002015501,银行存款-资金平台-分子公司-账户1,银行存款-新希望财务公司资金平台-分子公司-账户1,银行存款-新希望财务公司资金平台-分子公司-账户1
800,1,4000,1002015502,删除,删除,删除
800,1,4000,1002015503,银行存款-人民币-财务公司-保证金户1,银行存款-人民币-财务公司-保证金户1,银行存款-人民币-财务公司-保证金户1
800,1,4000,1002015504,银行存款-资金平台-分子公司-账户2,银行存款-新希望财务公司资金平台-分子公司-账户2,银行存款-新希望财务公司资金平台-分子公司-账户2
800,1,4000,1002015505,银行存款-新希望财务公司,银行存款-新希望财务公司,银行存款-新希望财务公司
800,1,4000,1002015506,银行存款-新希望财务公司-牛奶钱包,银行存款-新希望财务公司-牛奶钱包,银行存款-新希望财务公司-牛奶钱包
800,1,4000,1002015507,银行存款-新希望财务公司-电子汇票专户,银行存款-新希望财务公司-电子汇票专户,银行存款-新希望财务公司-电子汇票专户
800,1,4000,1002015508,银行存款-新希望财务公司-牛奶钱包资金平,银行存款-新希望财务公司-牛奶钱包资金平台,银行存款-新希望财务公司-牛奶钱包资金平台
800,1,4000,1002015510,银行存款-人民币-青岛银行-一般户1,银行存款-人民币-青岛银行-一般户1,银行存款-人民币-青岛银行-一般户1
800,1,4000,1002015610,银行存款-人民币-江苏银行-一般户1,银行存款-人民币-江苏银行-一般户1,银行存款-人民币-江苏银行-一般户1
800,1,4000,1002020110,银行存款-美元-中国银行-一般户1,银行存款-美元-中国银行-一般户1,银行存款-美元-中国银行-一般户1
800,1,4000,1002020111,银行存款-美元-中国银行-一般户2,银行存款-美元-中国银行-一般户2,银行存款-美元-中国银行-一般户2
800,1,4000,1002020112,银行存款-美元-中国银行-一般户3,银行存款-美元-中国银行-一般户3,银行存款-美元-中国银行-一般户3
800,1,4000,1002020120,银行存款-美元-中国银行-专用户,银行存款-美元-中国银行-专用户,银行存款-美元-中国银行-专用户
800,1,4000,1002020210,银行存款-美元-农业银行-一般户1,银行存款-美元-农业银行-一般户1,银行存款-美元-农业银行-一般户1
800,1,4000,1002020211,银行存款-美元-农业银行-一般户2,银行存款-美元-农业银行-一般户2,银行存款-美元-农业银行-一般户2
800,1,4000,1002020212,银行存款-美元-农业银行-一般户3,银行存款-美元-农业银行-一般户3,银行存款-美元-农业银行-一般户3
800,1,4000,1002020510,银行存款-美元-工商银行-一般户1,银行存款-美元-工商银行-一般户1,银行存款-美元-工商银行-一般户1
800,1,4000,1002020603,银行存款-美元-中信银行-保证金户,银行存款-美元-中信银行-保证金户,银行存款-美元-中信银行-保证金户
800,1,4000,1002020604,银行存款-美元-中信银行-保证金户1,银行存款-美元-中信银行-保证金户1,银行存款-美元-中信银行-保证金户1
800,1,4000,1002020610,银行存款-美元-中信实业银行-一般户,银行存款-美元-中信实业银行-一般户,银行存款-美元-中信实业银行-一般户
800,1,4000,1002021810,银行存款-美元-邮政储蓄银行-一般户1,银行存款-美元-邮政储蓄银行-一般户1,银行存款-美元-邮政储蓄银行-一般户1
800,1,4000,1002021820,银行存款-美元-邮政储蓄银行—专用户1,银行存款-美元-邮政储蓄银行-一专用户1,银行存款-美元-邮政储蓄银行-一专用户1
800,1,4000,1002022202,银行存款-美元-汇丰银行-贷款户,银行存款-美元-汇丰银行-贷款户,银行存款-美元-汇丰银行-贷款户
800,1,4000,1002022210,银行存款-美元-汇丰银行-一般户1,银行存款-美元-汇丰银行-一般户1,银行存款-美元-汇丰银行-一般户1
800,1,4000,1002022211,银行存款-美元-汇丰银行-一般户2,银行存款-美元-汇丰银行-一般户2,银行存款-美元-汇丰银行-一般户2
800,1,4000,1002022212,银行存款-美元-汇丰银行-一般户3,银行存款-美元-汇丰银行-一般户3,银行存款-美元-汇丰银行-一般户3
800,1,4000,1002022213,银行存款-美元-汇丰银行-一般户4,银行存款-美元-汇丰银行-一般户4,银行存款-美元-汇丰银行-一般户4
800,1,4000,1002022214,银行存款-美元-汇丰银行-一般户5,银行存款-美元-汇丰银行-一般户5,银行存款-美元-汇丰银行-一般户5
800,1,4000,1002022240,银行存款-美元-汇丰银行-FTN户,银行存款-美元-汇丰银行-FTN户,银行存款-美元-汇丰银行-FTN户
800,1,4000,1002023610,银行存款-美元-德意志银行-一般户1,银行存款-美元-德意志银行-一般户1,银行存款-美元-德意志银行-一般户1
800,1,4000,1002024610,银行存款-美元-渣打银行-一般户1,银行存款-美元-渣打银行-一般户1,银行存款-美元-渣打银行-一般户1
800,1,4000,1002024620,银行存款-美元-渣打银行-专用户1,银行存款-美元-渣打银行-专用户1,银行存款-美元-渣打银行-专用户1
800,1,4000,1002025110,银行存款-美元-荷兰合作银行-一般户1,银行存款-美元-荷兰合作银行-一般户1,银行存款-美元-荷兰合作银行-一般户1
800,1,4000,1002025120,银行存款-美元-荷兰合作银行-专用户1,银行存款-美元-荷兰合作银行-专用户1,银行存款-美元-荷兰合作银行-专用户1
800,1,4000,1002040110,银行存款-欧元-中国银行-一般户1,银行存款-欧元-中国银行-一般户1,银行存款-欧元-中国银行-一般户1
800,1,4000,1002040203,银行存款-欧元-农业银行-保证金户,银行存款-欧元-农业银行-保证金户,银行存款-欧元-农业银行-保证金户
800,1,4000,1002040210,银行存款-欧元-农业银行-一般户1,银行存款-欧元-农业银行-一般户1,银行存款-欧元-农业银行-一般户1
800,1,4000,1002040211,银行存款-欧元-农业银行-一般户2,银行存款-欧元-农业银行-一般户2,银行存款-欧元-农业银行-一般户2
800,1,4000,1002042202,银行存款-欧元-汇丰银行-贷款户,银行存款-欧元-汇丰银行-贷款户,银行存款-欧元-汇丰银行-贷款户
800,1,4000,1002042210,银行存款-欧元-汇丰银行-一般户1,银行存款-欧元-汇丰银行—般户1,银行存款-欧元-汇丰银行—般户1
800,1,4000,1002050903,银行存款-澳元-民生银行-保证金户,银行存款-澳元-民生银行-保证金户,银行存款-澳元-民生银行-保证金户
800,1,4000,1002050910,银行存款-澳元-民生银行-一般户1,银行存款-澳元-民生银行-一般户1,银行存款-澳元-民生银行-一般户1
800,1,4000,1002060603,银行存款-新西兰元-中信银行-保证金户,银行存款-新西兰元-中信银行-保证金户,银行存款-新西兰元-中信银行-保证金户
800,1,4000,1002070210,银行存款-日元-农业银行-一般户1,银行存款-日元-农业银行-一般户1,银行存款-日元-农业银行-一般户1
800,1,4000,1002070211,银行存款-日元-农业银行-一般户2,银行存款-日元-农业银行-一般户2,银行存款-日元-农业银行-一般户2
800,1,4000,1002082210,银行存款-港币-汇丰银行-一般户1,银行存款-港币-汇丰银行-一般户1,银行存款-港币-汇丰银行-一般户1
800,1,4000,1002999999,外币兑换-中间科目,外币兑换-中间科目,外币兑换-中间科目
800,1,4000,1012010000,其他货币资金-外埠存款,其他货币资金-外埠存款,其他货币资金-外埠存款
800,1,4000,1012020000,其他货币资金-银行本票,其他货币资金-银行本票,其他货币资金-银行本票
800,1,4000,1012030000,其他货币资金-银行汇票,其他货币资金-银行汇票,其他货币资金-银行汇票
800,1,4000,1012040000,其他货币资金-信用卡存款,其他货币资金-信用卡存款,其他货币资金-信用卡存款
800,1,4000,1012050101,其他货币资金-信用证保证金-人民币-中国,其他货币资金-信用证保证金-人民币-中国农业银行,其他货币资金-信用证保证金-人民币-中国农业银行
800,1,4000,1012050102,其他货币资金-信用证保证金-人民币-中信,其他货币资金-信用证保证金-人民币-中信银行,其他货币资金-信用证保证金-人民币-中信银行
800,1,4000,1012050103,其他货币资金-信用证保证金-人民币-交通,其他货币资金-信用证保证金-人民币-交通银行,其他货币资金-信用证保证金-人民币-交通银行
800,1,4000,1012050104,其他货币资金-信用证保证金-人民币-汇丰,其他货币资金-信用证保证金-人民币-汇丰银行,其他货币资金-信用证保证金-人民币-汇丰银行
800,1,4000,1012050201,其他货币资金-信用证保证金-美元-中国农,其他货币资金-信用证保证金-美元-中国农业银行,其他货币资金-信用证保证金-美元-中国农业银行
800,1,4000,1012050202,其他货币资金-信用证保证金-美元-中信银,其他货币资金-信用证保证金-美元-中信银行,其他货币资金-信用证保证金-美元-中信银行
800,1,4000,1012050203,其他货币资金-信用证保证金-美元-交通银,其他货币资金-信用证保证金-美元-交通银行,其他货币资金-信用证保证金-美元-交通银行
800,1,4000,1012050204,其他货币资金-信用证保证金-美元-汇丰银,其他货币资金-信用证保证金-美元-汇丰银行,其他货币资金-信用证保证金-美元-汇丰银行
800,1,4000,1012060000,其他货币资金-存出投资款,其他货币资金-存出投资款,其他货币资金-存出投资款
800,1,4000,1012070000,其他货币资金-票据保证金,其他货币资金-票据保证金,其他货币资金-票据保证金
800,1,4000,1012080000,其他货币资金-期货保证金,其他货币资金-期货保证金,其他货币资金-期货保证金
800,1,4000,1012090000,其他货币资金-住房公积金,其他货币资金-住房公积金,其他货币资金-住房公积金
800,1,4000,1012100000,其他货币资金-支付宝账户,其他货币资金-支付宝账户,其他货币资金-支付宝账户
800,1,4000,1012110000,其他货币资金-证券户,其他货币资金-证券户,其他货币资金-证券户
800,1,4000,1012990000,其他货币资金-在途资金,其他货币资金-在途资金,其他货币资金-在途资金
800,1,4000,1012990100,其他货币资金-在途资金-供应链金融,其他货币资金-在途资金-供应链金融,其他货币资金-在途资金-供应链金融
800,1,4000,1012990200,其他货币资金-在途资金-新希望在线,其他货币资金-在途资金-新希望在线,其他货币资金-在途资金-新希望在线
