行项目,KTOSL,记帐代码,SAKNR,TXT50,MATNR,文本,备注,数量,SHKZG,AMOUNT,货币,DOC_NUM,订单,开票凭证,说明,SCENARIO
30,GBB,81,6401000000,主营业务成本,50004333,本月产品出库,,2,S,5.76,CNY,8178095898,,8178095898,主营业务成本,销售发货
31,BSX,99,1405010000,库存商品-产成品,50004333,本月产品出库,,-2,H,-5.76,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
32,GBB,81,6401000000,主营业务成本,50004333,本月产品出库,,2,S,5.76,CNY,8178095898,,8178095898,主营业务成本,销售发货
33,BSX,99,1405010000,库存商品-产成品,50004890,本月产品出库,,-12,H,-17.66,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
34,GBB,81,6401000000,主营业务成本,50004890,本月产品出库,,12,S,17.66,CNY,8178095898,,8178095898,主营业务成本,销售发货
35,BSX,99,1405010000,库存商品-产成品,50004890,本月产品出库,,-12,H,-17.66,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
36,GBB,81,6401000000,主营业务成本,50004890,本月产品出库,,12,S,17.66,CNY,8178095898,,8178095898,主营业务成本,销售发货
37,BSX,99,1405010000,库存商品-产成品,50004890,本月产品出库,,-6,H,-8.83,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
38,GBB,81,6401000000,主营业务成本,50004890,本月产品出库,,6,S,8.83,CNY,8178095898,,8178095898,主营业务成本,销售发货
39,BSX,99,1405010000,库存商品-产成品,50004891,本月产品出库,,-6,H,-8.48,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
40,GBB,81,6401000000,主营业务成本,50004891,本月产品出库,,6,S,8.48,CNY,8178095898,,8178095898,主营业务成本,销售发货
41,BSX,99,1405010000,库存商品-产成品,50004891,本月产品出库,,-12,H,-16.97,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
42,GBB,81,6401000000,主营业务成本,50004891,本月产品出库,,12,S,16.97,CNY,8178095898,,8178095898,主营业务成本,销售发货
43,BSX,99,1405010000,库存商品-产成品,50004891,本月产品出库,,-12,H,-16.97,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
44,GBB,81,6401000000,主营业务成本,50004891,本月产品出库,,12,S,16.97,CNY,8178095898,,8178095898,主营业务成本,销售发货
45,BSX,99,1405020000,库存商品-外购商品,50006420,本月产品出库,,-1,H,-1.33,CNY,8178095898,,8178095898,库存商品-外购商品,销售发货
46,GBB,81,6401000000,主营业务成本,50006420,本月产品出库,,1,S,1.33,CNY,8178095898,,8178095898,主营业务成本,销售发货
47,BSX,99,1405010000,库存商品-产成品,50007871,本月产品出库,,-20,H,-17.59,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
48,GBB,81,6401000000,主营业务成本,50007871,本月产品出库,,20,S,17.59,CNY,8178095898,,8178095898,主营业务成本,销售发货
49,BSX,99,1405010000,库存商品-产成品,50007871,本月产品出库,,-10,H,-8.79,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
50,GBB,81,6401000000,主营业务成本,50007871,本月产品出库,,10,S,8.79,CNY,8178095898,,8178095898,主营业务成本,销售发货
51,BSX,99,1405010000,库存商品-产成品,50007871,本月产品出库,,-10,H,-8.79,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
52,GBB,81,6401000000,主营业务成本,50007871,本月产品出库,,10,S,8.79,CNY,8178095898,,8178095898,主营业务成本,销售发货
53,BSX,99,1405010000,库存商品-产成品,50007871,本月产品出库,,-10,H,-8.79,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
54,GBB,81,6401000000,主营业务成本,50007871,本月产品出库,,10,S,8.79,CNY,8178095898,,8178095898,主营业务成本,销售发货
55,BSX,99,1405010000,库存商品-产成品,50009020,本月产品出库,,-10,H,-9.18,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
56,GBB,81,6401000000,主营业务成本,50009020,本月产品出库,,10,S,9.18,CNY,8178095898,,8178095898,主营业务成本,销售发货
57,BSX,99,1405010000,库存商品-产成品,50009020,本月产品出库,,-10,H,-9.18,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
58,GBB,81,6401000000,主营业务成本,50009020,本月产品出库,,10,S,9.18,CNY,8178095898,,8178095898,主营业务成本,销售发货
59,BSX,99,1405010000,库存商品-产成品,50009020,本月产品出库,,-10,H,-9.18,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
60,GBB,81,6401000000,主营业务成本,50009020,本月产品出库,,10,S,9.18,CNY,8178095898,,8178095898,主营业务成本,销售发货
61,BSX,99,1405010000,库存商品-产成品,50009055,本月产品出库,,-25,H,-23.03,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
62,GBB,81,6401000000,主营业务成本,50009055,本月产品出库,,25,S,23.03,CNY,8178095898,,8178095898,主营业务成本,销售发货
63,BSX,99,1405010000,库存商品-产成品,50009055,本月产品出库,,-15,H,-13.82,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
64,GBB,81,6401000000,主营业务成本,50009055,本月产品出库,,15,S,13.82,CNY,8178095898,,8178095898,主营业务成本,销售发货
65,BSX,99,1405010000,库存商品-产成品,50009055,本月产品出库,,-20,H,-18.42,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
66,GBB,81,6401000000,主营业务成本,50009055,本月产品出库,,20,S,18.42,CNY,8178095898,,8178095898,主营业务成本,销售发货
67,BSX,99,1405010000,库存商品-产成品,50009055,本月产品出库,,-20,H,-18.42,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
68,GBB,81,6401000000,主营业务成本,50009055,本月产品出库,,20,S,18.42,CNY,8178095898,,8178095898,主营业务成本,销售发货
69,BSX,99,1405010000,库存商品-产成品,50009303,本月产品出库,,-54,H,-114.41,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
70,GBB,81,6401000000,主营业务成本,50009303,本月产品出库,,54,S,114.41,CNY,8178095898,,8178095898,主营业务成本,销售发货
71,BSX,99,1405010000,库存商品-产成品,50009303,本月产品出库,,-6,H,-12.71,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
72,GBB,81,6401000000,主营业务成本,50009303,本月产品出库,,6,S,12.71,CNY,8178095898,,8178095898,主营业务成本,销售发货
73,BSX,99,1405010000,库存商品-产成品,50009304,本月产品出库,,-3,H,-4.27,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
74,GBB,81,6401000000,主营业务成本,50009304,本月产品出库,,3,S,4.27,CNY,8178095898,,8178095898,主营业务成本,销售发货
75,BSX,99,1405010000,库存商品-产成品,50009304,本月产品出库,,-12,H,-17.1,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
76,GBB,81,6401000000,主营业务成本,50009304,本月产品出库,,12,S,17.1,CNY,8178095898,,8178095898,主营业务成本,销售发货
77,BSX,99,1405010000,库存商品-产成品,50009304,本月产品出库,,-12,H,-17.1,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
78,GBB,81,6401000000,主营业务成本,50009304,本月产品出库,,12,S,17.1,CNY,8178095898,,8178095898,主营业务成本,销售发货
79,BSX,99,1405010000,库存商品-产成品,50009542,本月产品出库,,-6,H,-10.97,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
80,GBB,81,6401000000,主营业务成本,50009542,本月产品出库,,6,S,10.97,CNY,8178095898,,8178095898,主营业务成本,销售发货
81,BSX,99,1405010000,库存商品-产成品,50009957,本月产品出库,,-12,H,-23.52,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
82,GBB,81,6401000000,主营业务成本,50009957,本月产品出库,,12,S,23.52,CNY,8178095898,,8178095898,主营业务成本,销售发货
83,BSX,99,1405010000,库存商品-产成品,50010064,本月产品出库,,-4,H,-15.62,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
84,GBB,81,6401000000,主营业务成本,50010064,本月产品出库,,4,S,15.62,CNY,8178095898,,8178095898,主营业务成本,销售发货
85,BSX,99,1405010000,库存商品-产成品,50010064,本月产品出库,,-2,H,-7.81,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
86,GBB,81,6401000000,主营业务成本,50010064,本月产品出库,,2,S,7.81,CNY,8178095898,,8178095898,主营业务成本,销售发货
87,BSX,99,1405010000,库存商品-产成品,50010064,本月产品出库,,-4,H,-15.62,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
88,GBB,81,6401000000,主营业务成本,50010064,本月产品出库,,4,S,15.62,CNY,8178095898,,8178095898,主营业务成本,销售发货
89,BSX,99,1405010000,库存商品-产成品,50010064,本月产品出库,,-4,H,-15.62,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
90,GBB,81,6401000000,主营业务成本,50010064,本月产品出库,,4,S,15.62,CNY,8178095898,,8178095898,主营业务成本,销售发货
91,BSX,99,1405010000,库存商品-产成品,50011012,本月产品出库,,-2,H,-4.6,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
92,GBB,81,6401000000,主营业务成本,50011012,本月产品出库,,2,S,4.6,CNY,8178095898,,8178095898,主营业务成本,销售发货
93,BSX,99,1405010000,库存商品-产成品,50011808,本月产品出库,,-10,H,-9.82,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
94,GBB,81,6401000000,主营业务成本,50011808,本月产品出库,,10,S,9.82,CNY,8178095898,,8178095898,主营业务成本,销售发货
95,BSX,99,1405010000,库存商品-产成品,50011808,本月产品出库,,-10,H,-9.82,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
96,GBB,81,6401000000,主营业务成本,50011808,本月产品出库,,10,S,9.82,CNY,8178095898,,8178095898,主营业务成本,销售发货
97,BSX,99,1405010000,库存商品-产成品,50011998,本月产品出库,,-5,H,-12.58,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
98,GBB,81,6401000000,主营业务成本,50011998,本月产品出库,,5,S,12.58,CNY,8178095898,,8178095898,主营业务成本,销售发货
99,BSX,99,1405010000,库存商品-产成品,50011998,本月产品出库,,-6,H,-15.09,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
100,GBB,81,6401000000,主营业务成本,50011998,本月产品出库,,6,S,15.09,CNY,8178095898,,8178095898,主营业务成本,销售发货
101,BSX,99,1405020000,库存商品-外购商品,50011952,本月产品出库,,-4,H,-11.2,CNY,8178095898,,8178095898,库存商品-外购商品,销售发货
102,GBB,81,6401000000,主营业务成本,50011952,本月产品出库,,4,S,11.2,CNY,8178095898,,8178095898,主营业务成本,销售发货
