COMPANY_CODE,Fiscal Year,Period,DOC_NUM,Line Item,Document Type,DATE,Posting Date,Transaction Code,Currency,SHKZG,Posting Key,SAKNR,TXT50,AMOUNT,Assignment,Line Text,WERKS,MATNR,Movement Type,PO/SO/Order Ref,T030 Chart,KTOSL,T030 BWMOD,KOMOK,T030 BKLAS,T030_CONFIG_ROW_ID,SCENARIO_L1,SCENARIO_L2,CONFIG_COVERED_FLAG,Account Present in Balance Sheet,Synthetic Flag
4110,2026,3,9200000014,1,WA,2026-03-08 00:00:00,2026-03-08 00:00:00,MIGO,CNY,S,40,1405999999,产成品差异,285392.8,AUM-4130-NA-7920,转储/物料差异 AUM 自动过账科目测试,4130,MAT7900048,309/311,REF00000014,4000,AUM,4130,,7920,T030-00014,库存转储差异,转储/物料差异 AUM,Y,Y,Y
4390,2026,3,9200000015,1,WA,2026-03-13 00:00:00,2026-03-13 00:00:00,MIGO,CNY,H,50,1405999999,产成品差异,83855.4,AUM-4130-NA-7923,转储/物料差异 AUM 自动过账科目测试,4130,MAT7900034,309/311,REF00000015,4000,AUM,4130,,7923,T030-00015,库存转储差异,转储/物料差异 AUM,Y,Y,Y
4110,2026,3,9200000016,1,WA,2026-03-18 00:00:00,2026-03-18 00:00:00,MIGO,CNY,S,40,1403999999,原材料差异,140459.41,AUM-4150-NA-3000,转储/物料差异 AUM 自动过账科目测试,4150,MAT7900053,309/311,REF00000016,4000,AUM,4150,,3000,T030-00016,库存转储差异,转储/物料差异 AUM,Y,Y,Y
4390,2026,3,9200000017,1,WA,2026-03-23 00:00:00,2026-03-23 00:00:00,MIGO,CNY,S,40,1403999999,原材料差异,242880.01,AUM-4150-NA-3040,转储/物料差异 AUM 自动过账科目测试,4150,MAT7900057,309/311,REF00000017,4000,AUM,4150,,3040,T030-00017,库存转储差异,转储/物料差异 AUM,Y,Y,Y
4110,2026,3,9200000018,1,WA,2026-03-27 00:00:00,2026-03-27 00:00:00,MIGO,CNY,H,50,1403999999,原材料差异,190629.44,AUM-4150-NA-3050,转储/物料差异 AUM 自动过账科目测试,4150,MAT7900007,309/311,REF00000018,4000,AUM,4150,,3050,T030-00018,库存转储差异,转储/物料差异 AUM,Y,Y,Y
4390,2026,4,9200000019,1,WA,2026-04-03 00:00:00,2026-04-03 00:00:00,MIGO,CNY,S,40,1403999999,原材料差异,110703.31,AUM-4150-NA-3400,转储/物料差异 AUM 自动过账科目测试,4150,MAT7900023,309/311,REF00000019,4000,AUM,4150,,3400,T030-00019,库存转储差异,转储/物料差异 AUM,Y,Y,Y
4110,2026,4,9200000020,1,WA,2026-04-08 00:00:00,2026-04-08 00:00:00,MIGO,CNY,S,40,1407999999,半成品差异,79771.09,AUM-4150-NA-7900,转储/物料差异 AUM 自动过账科目测试,4150,MAT7900020,309/311,REF00000020,4000,AUM,4150,,7900,T030-00020,库存转储差异,转储/物料差异 AUM,Y,Y,Y
4390,2026,4,9200000021,1,WA,2026-04-13 00:00:00,2026-04-13 00:00:00,MIGO,CNY,H,50,1405999999,产成品差异,123329.27,AUM-4150-NA-7920,转储/物料差异 AUM 自动过账科目测试,4150,MAT7900009,309/311,REF00000021,4000,AUM,4150,,7920,T030-00021,库存转储差异,转储/物料差异 AUM,Y,Y,Y
4110,2026,4,9200000022,1,WA,2026-04-18 00:00:00,2026-04-18 00:00:00,MIGO,CNY,S,40,1405999999,产成品差异,184278.11,AUM-4150-NA-7921,转储/物料差异 AUM 自动过账科目测试,4150,MAT7900056,309/311,REF00000022,4000,AUM,4150,,7921,T030-00022,库存转储差异,转储/物料差异 AUM,Y,Y,Y
4390,2026,4,9200000023,1,WA,2026-04-23 00:00:00,2026-04-23 00:00:00,MIGO,CNY,S,40,1405999999,产成品差异,237318.3,AUM-4150-NA-7922,转储/物料差异 AUM 自动过账科目测试,4150,MAT7900060,309/311,REF00000023,4000,AUM,4150,,7922,T030-00023,库存转储差异,转储/物料差异 AUM,Y,Y,Y
4110,2026,4,9200000024,1,WA,2026-04-27 00:00:00,2026-04-27 00:00:00,MIGO,CNY,H,50,1405999999,产成品差异,125292.79,AUM-4150-NA-7923,转储/物料差异 AUM 自动过账科目测试,4150,MAT7900028,309/311,REF00000024,4000,AUM,4150,,7923,T030-00024,库存转储差异,转储/物料差异 AUM,Y,Y,Y
4390,2026,5,9200000025,1,WA,2026-05-03 00:00:00,2026-05-03 00:00:00,MIGO,CNY,S,40,1403999999,原材料差异,724.55,AUM-4180-NA-3000,转储/物料差异 AUM 自动过账科目测试,4180,MAT7900031,309/311,REF00000025,4000,AUM,4180,,3000,T030-00025,库存转储差异,转储/物料差异 AUM,Y,Y,Y
4110,2026,5,9200000026,1,WA,2026-05-08 00:00:00,2026-05-08 00:00:00,MIGO,CNY,S,40,1403999999,原材料差异,131586.36,AUM-4180-NA-3040,转储/物料差异 AUM 自动过账科目测试,4180,MAT7900002,309/311,REF00000026,4000,AUM,4180,,3040,T030-00026,库存转储差异,转储/物料差异 AUM,Y,Y,Y
4390,2026,5,9200000027,1,WA,2026-05-13 00:00:00,2026-05-13 00:00:00,MIGO,CNY,H,50,1403999999,原材料差异,237126.38,AUM-4180-NA-3050,转储/物料差异 AUM 自动过账科目测试,4180,MAT7900023,309/311,REF00000027,4000,AUM,4180,,3050,T030-00027,库存转储差异,转储/物料差异 AUM,Y,Y,Y
4110,2026,5,9200000028,1,WA,2026-05-18 00:00:00,2026-05-18 00:00:00,MIGO,CNY,S,40,1403999999,原材料差异,193735.32,AUM-4180-NA-3400,转储/物料差异 AUM 自动过账科目测试,4180,MAT7900010,309/311,REF00000028,4000,AUM,4180,,3400,T030-00028,库存转储差异,转储/物料差异 AUM,Y,Y,Y
4390,2026,5,9200000029,1,WA,2026-05-23 00:00:00,2026-05-23 00:00:00,MIGO,CNY,S,40,1407999999,半成品差异,112127.85,AUM-4180-NA-7900,转储/物料差异 AUM 自动过账科目测试,4180,MAT7900012,309/311,REF00000029,4000,AUM,4180,,7900,T030-00029,库存转储差异,转储/物料差异 AUM,Y,Y,Y
4110,2026,5,9200000030,1,WA,2026-05-27 00:00:00,2026-05-27 00:00:00,MIGO,CNY,H,50,1405999999,产成品差异,194949.1,AUM-4180-NA-7920,转储/物料差异 AUM 自动过账科目测试,4180,MAT7900034,309/311,REF00000030,4000,AUM,4180,,7920,T030-00030,库存转储差异,转储/物料差异 AUM,Y,Y,Y
4390,2026,1,9200000031,1,WA,2026-01-03 00:00:00,2026-01-03 00:00:00,MIGO,CNY,S,40,1405999999,产成品差异,204166.85,AUM-4180-NA-7921,转储/物料差异 AUM 自动过账科目测试,4180,MAT7900049,309/311,REF00000031,4000,AUM,4180,,7921,T030-00031,库存转储差异,转储/物料差异 AUM,Y,Y,Y
4110,2026,1,9200000032,1,WA,2026-01-08 00:00:00,2026-01-08 00:00:00,MIGO,CNY,S,40,1405999999,产成品差异,32615.07,AUM-4180-NA-7922,转储/物料差异 AUM 自动过账科目测试,4180,MAT7900020,309/311,REF00000032,4000,AUM,4180,,7922,T030-00032,库存转储差异,转储/物料差异 AUM,Y,Y,Y
4390,2026,1,9200000033,1,WA,2026-01-13 00:00:00,2026-01-13 00:00:00,MIGO,CNY,H,50,1405999999,产成品差异,116771.75,AUM-4180-NA-7923,转储/物料差异 AUM 自动过账科目测试,4180,MAT7900005,309/311,REF00000033,4000,AUM,4180,,7923,T030-00033,库存转储差异,转储/物料差异 AUM,Y,Y,Y
4110,2026,1,9200000034,1,WA,2026-01-18 00:00:00,2026-01-18 00:00:00,MIGO,CNY,S,40,1405999999,产成品差异,70352.68,AUM-4480-NA-7923,转储/物料差异 AUM 自动过账科目测试,4480,MAT7900030,309/311,REF00000034,4000,AUM,4480,,7923,T030-00034,库存转储差异,转储/物料差异 AUM,Y,Y,Y
4390,2026,1,9200000035,1,WA,2026-01-23 00:00:00,2026-01-23 00:00:00,MIGO,CNY,S,40,1403999999,原材料差异,208721.41,AUM-4510-NA-3000,转储/物料差异 AUM 自动过账科目测试,4510,MAT7900021,309/311,REF00000035,4000,AUM,4510,,3000,T030-00035,库存转储差异,转储/物料差异 AUM,Y,Y,Y
4110,2026,1,9200000036,1,WA,2026-01-27 00:00:00,2026-01-27 00:00:00,MIGO,CNY,H,50,1405999999,产成品差异,192377.66,AUM-4680-NA-7923,转储/物料差异 AUM 自动过账科目测试,4680,MAT7900022,309/311,REF00000036,4000,AUM,4680,,7923,T030-00036,库存转储差异,转储/物料差异 AUM,Y,Y,Y
4390,2026,2,9200000037,1,WA,2026-02-03 00:00:00,2026-02-03 00:00:00,MIGO,CNY,S,40,1405999999,产成品差异,150006.79,AUM-4800-NA-7921,转储/物料差异 AUM 自动过账科目测试,4800,MAT7900030,309/311,REF00000037,4000,AUM,4800,,7921,T030-00037,库存转储差异,转储/物料差异 AUM,Y,Y,Y
4110,2026,2,9200000038,1,WA,2026-02-08 00:00:00,2026-02-08 00:00:00,MIGO,CNY,S,40,1405999999,产成品差异,17304.98,AUM-5050-NA-7921,转储/物料差异 AUM 自动过账科目测试,5050,MAT7900059,309/311,REF00000038,4000,AUM,5050,,7921,T030-00038,库存转储差异,转储/物料差异 AUM,Y,Y,Y
4390,2026,2,9200000039,1,WA,2026-02-13 00:00:00,2026-02-13 00:00:00,MIGO,CNY,H,50,1405999999,产成品差异,199116.67,AUM-5050-NA-7923,转储/物料差异 AUM 自动过账科目测试,5050,MAT7900050,309/311,REF00000039,4000,AUM,5050,,7923,T030-00039,库存转储差异,转储/物料差异 AUM,Y,Y,Y
4110,2026,2,9200000040,1,RV,2026-02-18 00:00:00,2026-02-18 00:00:00,VF01,CNY,H,50,4104080000,利润分配-未分配利润,277792.31,BIL-NA-X-NA,收入/成本自动记账 BIL 自动过账科目测试,P003,MAT7900038,Billing,REF00000040,4000,BIL,nan,X,nan,T030-00040,销售开票,收入/成本自动记账 BIL,Y,Y,Y
4390,2026,2,9200000041,1,SA,2026-02-23 00:00:00,2026-02-23 00:00:00,SAP_AUTO,CNY,H,50,6603030000,财务费用-手续费,258728.56,BSP-NA-NA-NA,T030交易键 BSP 自动过账科目测试,P005,MAT7900037,AUTO,REF00000041,4000,BSP,nan,,nan,T030-00041,其他自动过账,T030交易键 BSP,Y,Y,Y
4110,2026,2,9200000042,1,WA,2026-02-27 00:00:00,2026-02-27 00:00:00,MIGO/CO11N,CNY,S,40,1408000000,委托加工物资-结转,99261.33,BSV-4010-NA-3000,库存变化/生产入库 BSV 自动过账科目测试,4010,MAT7900030,101/531,REF00000042,4000,BSV,4010,,3000,T030-00042,库存变动,库存变化/生产入库 BSV,Y,Y,Y
4390,2026,3,9200000043,1,WA,2026-03-03 00:00:00,2026-03-03 00:00:00,MIGO/CO11N,CNY,H,50,1408000000,委托加工物资-结转,92544.31,BSV-4010-NA-7900,库存变化/生产入库 BSV 自动过账科目测试,4010,MAT7900014,101/531,REF00000043,4000,BSV,4010,,7900,T030-00043,库存变动,库存变化/生产入库 BSV,Y,Y,Y
4110,2026,3,9200000044,1,WA,2026-03-08 00:00:00,2026-03-08 00:00:00,MIGO/CO11N,CNY,S,40,1408000000,委托加工物资-结转,185554.2,BSV-4010-NA-7901,库存变化/生产入库 BSV 自动过账科目测试,4010,MAT7900033,101/531,REF00000044,4000,BSV,4010,,7901,T030-00044,库存变动,库存变化/生产入库 BSV,Y,Y,Y
4390,2026,3,9200000045,1,WA,2026-03-13 00:00:00,2026-03-13 00:00:00,MIGO/CO11N,CNY,H,50,1408000000,委托加工物资-结转,257950.12,BSV-4010-NA-7920,库存变化/生产入库 BSV 自动过账科目测试,4010,MAT7900012,101/531,REF00000045,4000,BSV,4010,,7920,T030-00045,库存变动,库存变化/生产入库 BSV,Y,Y,Y
4110,2026,3,9200000046,1,WA,2026-03-18 00:00:00,2026-03-18 00:00:00,MIGO/CO11N,CNY,S,40,1408000000,委托加工物资-结转,142883.09,BSV-4010-NA-7921,库存变化/生产入库 BSV 自动过账科目测试,4010,MAT7900038,101/531,REF00000046,4000,BSV,4010,,7921,T030-00046,库存变动,库存变化/生产入库 BSV,Y,Y,Y
4390,2026,3,9200000047,1,WA,2026-03-23 00:00:00,2026-03-23 00:00:00,MIGO/CO11N,CNY,H,50,1408000000,委托加工物资-结转,53449.34,BSV-4020-NA-3000,库存变化/生产入库 BSV 自动过账科目测试,4020,MAT7900050,101/531,REF00000047,4000,BSV,4020,,3000,T030-00047,库存变动,库存变化/生产入库 BSV,Y,Y,Y
4110,2026,3,9200000048,1,WA,2026-03-27 00:00:00,2026-03-27 00:00:00,MIGO/CO11N,CNY,S,40,1408000000,委托加工物资-结转,14058.99,BSV-4020-NA-7900,库存变化/生产入库 BSV 自动过账科目测试,4020,MAT7900057,101/531,REF00000048,4000,BSV,4020,,7900,T030-00048,库存变动,库存变化/生产入库 BSV,Y,Y,Y
4390,2026,4,9200000049,1,WA,2026-04-03 00:00:00,2026-04-03 00:00:00,MIGO/CO11N,CNY,H,50,1408000000,委托加工物资-结转,182801.22,BSV-4020-NA-7901,库存变化/生产入库 BSV 自动过账科目测试,4020,MAT7900039,101/531,REF00000049,4000,BSV,4020,,7901,T030-00049,库存变动,库存变化/生产入库 BSV,Y,Y,Y
4110,2026,4,9200000050,1,WA,2026-04-08 00:00:00,2026-04-08 00:00:00,MIGO/CO11N,CNY,S,40,1408000000,委托加工物资-结转,215443.13,BSV-4020-NA-7920,库存变化/生产入库 BSV 自动过账科目测试,4020,MAT7900041,101/531,REF00000050,4000,BSV,4020,,7920,T030-00050,库存变动,库存变化/生产入库 BSV,Y,Y,Y
4390,2026,4,9200000051,1,WA,2026-04-13 00:00:00,2026-04-13 00:00:00,MIGO/CO11N,CNY,H,50,1408000000,委托加工物资-结转,98785.85,BSV-4020-NA-7921,库存变化/生产入库 BSV 自动过账科目测试,4020,MAT7900051,101/531,REF00000051,4000,BSV,4020,,7921,T030-00051,库存变动,库存变化/生产入库 BSV,Y,Y,Y
4110,2026,4,9200000052,1,WA,2026-04-18 00:00:00,2026-04-18 00:00:00,MIGO/CO11N,CNY,S,40,1408000000,委托加工物资-结转,192878.88,BSV-4030-NA-7900,库存变化/生产入库 BSV 自动过账科目测试,4030,MAT7900040,101/531,REF00000052,4000,BSV,4030,,7900,T030-00052,库存变动,库存变化/生产入库 BSV,Y,Y,Y
4390,2026,4,9200000053,1,WA,2026-04-23 00:00:00,2026-04-23 00:00:00,MIGO/CO11N,CNY,H,50,1408000000,委托加工物资-结转,222795.02,BSV-4030-NA-7901,库存变化/生产入库 BSV 自动过账科目测试,4030,MAT7900054,101/531,REF00000053,4000,BSV,4030,,7901,T030-00053,库存变动,库存变化/生产入库 BSV,Y,Y,Y
4110,2026,4,9200000054,1,WA,2026-04-27 00:00:00,2026-04-27 00:00:00,MIGO/CO11N,CNY,S,40,1408000000,委托加工物资-结转,261814.93,BSV-4050-NA-3000,库存变化/生产入库 BSV 自动过账科目测试,4050,MAT7900033,101/531,REF00000054,4000,BSV,4050,,3000,T030-00054,库存变动,库存变化/生产入库 BSV,Y,Y,Y
4390,2026,5,9200000055,1,WA,2026-05-03 00:00:00,2026-05-03 00:00:00,MIGO/CO11N,CNY,H,50,1408000000,委托加工物资-结转,34327.05,BSV-4050-NA-7901,库存变化/生产入库 BSV 自动过账科目测试,4050,MAT7900048,101/531,REF00000055,4000,BSV,4050,,7901,T030-00055,库存变动,库存变化/生产入库 BSV,Y,Y,Y
4110,2026,5,9200000056,1,WA,2026-05-08 00:00:00,2026-05-08 00:00:00,MIGO/CO11N,CNY,S,40,1408000000,委托加工物资-结转,11665.99,BSV-4050-NA-7921,库存变化/生产入库 BSV 自动过账科目测试,4050,MAT7900019,101/531,REF00000056,4000,BSV,4050,,7921,T030-00056,库存变动,库存变化/生产入库 BSV,Y,Y,Y
4390,2026,5,9200000057,1,WA,2026-05-13 00:00:00,2026-05-13 00:00:00,MIGO/CO11N,CNY,H,50,1408000000,委托加工物资-结转,148081.72,BSV-4100-NA-7900,库存变化/生产入库 BSV 自动过账科目测试,4100,MAT7900011,101/531,REF00000057,4000,BSV,4100,,7900,T030-00057,库存变动,库存变化/生产入库 BSV,Y,Y,Y
4110,2026,5,9200000058,1,WA,2026-05-18 00:00:00,2026-05-18 00:00:00,MIGO/CO11N,CNY,S,40,1408000000,委托加工物资-结转,215423.43,BSV-4100-NA-7901,库存变化/生产入库 BSV 自动过账科目测试,4100,MAT7900013,101/531,REF00000058,4000,BSV,4100,,7901,T030-00058,库存变动,库存变化/生产入库 BSV,Y,Y,Y
4390,2026,5,9200000059,1,WA,2026-05-23 00:00:00,2026-05-23 00:00:00,MIGO/CO11N,CNY,H,50,1408000000,委托加工物资-结转,21643.35,BSV-4100-NA-7920,库存变化/生产入库 BSV 自动过账科目测试,4100,MAT7900028,101/531,REF00000059,4000,BSV,4100,,7920,T030-00059,库存变动,库存变化/生产入库 BSV,Y,Y,Y
4110,2026,5,9200000060,1,WA,2026-05-27 00:00:00,2026-05-27 00:00:00,MIGO/CO11N,CNY,S,40,1408000000,委托加工物资-结转,64847.3,BSV-4100-NA-7921,库存变化/生产入库 BSV 自动过账科目测试,4100,MAT7900041,101/531,REF00000060,4000,BSV,4100,,7921,T030-00060,库存变动,库存变化/生产入库 BSV,Y,Y,Y
4390,2026,1,9200000061,1,WA,2026-01-03 00:00:00,2026-01-03 00:00:00,MIGO/CO11N,CNY,H,50,1408000000,委托加工物资-结转,276880.3,BSV-4110-NA-7900,库存变化/生产入库 BSV 自动过账科目测试,4110,MAT7900031,101/531,REF00000061,4000,BSV,4110,,7900,T030-00061,库存变动,库存变化/生产入库 BSV,Y,Y,Y
4110,2026,1,9200000062,1,WA,2026-01-08 00:00:00,2026-01-08 00:00:00,MIGO/CO11N,CNY,S,40,1408000000,委托加工物资-结转,248154.43,BSV-4110-NA-7901,库存变化/生产入库 BSV 自动过账科目测试,4110,MAT7900049,101/531,REF00000062,4000,BSV,4110,,7901,T030-00062,库存变动,库存变化/生产入库 BSV,Y,Y,Y
4390,2026,1,9200000063,1,WA,2026-01-13 00:00:00,2026-01-13 00:00:00,MIGO/CO11N,CNY,H,50,1408000000,委托加工物资-结转,54134.87,BSV-4110-NA-7920,库存变化/生产入库 BSV 自动过账科目测试,4110,MAT7900019,101/531,REF00000063,4000,BSV,4110,,7920,T030-00063,库存变动,库存变化/生产入库 BSV,Y,Y,Y
4110,2026,1,9200000064,1,WA,2026-01-18 00:00:00,2026-01-18 00:00:00,MIGO/CO11N,CNY,S,40,1408000000,委托加工物资-结转,34046.61,BSV-4110-NA-7921,库存变化/生产入库 BSV 自动过账科目测试,4110,MAT7900037,101/531,REF00000064,4000,BSV,4110,,7921,T030-00064,库存变动,库存变化/生产入库 BSV,Y,Y,Y
4390,2026,1,9200000065,1,WA,2026-01-23 00:00:00,2026-01-23 00:00:00,MIGO/CO11N,CNY,H,50,1408000000,委托加工物资-结转,278304.91,BSV-4120-NA-7900,库存变化/生产入库 BSV 自动过账科目测试,4120,MAT7900017,101/531,REF00000065,4000,BSV,4120,,7900,T030-00065,库存变动,库存变化/生产入库 BSV,Y,Y,Y
4110,2026,1,9200000066,1,WA,2026-01-27 00:00:00,2026-01-27 00:00:00,MIGO/CO11N,CNY,S,40,1408000000,委托加工物资-结转,16051.73,BSV-4120-NA-7901,库存变化/生产入库 BSV 自动过账科目测试,4120,MAT7900005,101/531,REF00000066,4000,BSV,4120,,7901,T030-00066,库存变动,库存变化/生产入库 BSV,Y,Y,Y
4390,2026,2,9200000067,1,WA,2026-02-03 00:00:00,2026-02-03 00:00:00,MIGO/CO11N,CNY,H,50,1408000000,委托加工物资-结转,62806.29,BSV-4120-NA-7920,库存变化/生产入库 BSV 自动过账科目测试,4120,MAT7900053,101/531,REF00000067,4000,BSV,4120,,7920,T030-00067,库存变动,库存变化/生产入库 BSV,Y,Y,Y
4110,2026,2,9200000068,1,WA,2026-02-08 00:00:00,2026-02-08 00:00:00,MIGO/CO11N,CNY,S,40,1408000000,委托加工物资-结转,188374.49,BSV-4120-NA-7921,库存变化/生产入库 BSV 自动过账科目测试,4120,MAT7900013,101/531,REF00000068,4000,BSV,4120,,7921,T030-00068,库存变动,库存变化/生产入库 BSV,Y,Y,Y
4390,2026,2,9200000069,1,WA,2026-02-13 00:00:00,2026-02-13 00:00:00,MIGO/CO11N,CNY,H,50,1408000000,委托加工物资-结转,36943.2,BSV-4120-NA-7923,库存变化/生产入库 BSV 自动过账科目测试,4120,MAT7900051,101/531,REF00000069,4000,BSV,4120,,7923,T030-00069,库存变动,库存变化/生产入库 BSV,Y,Y,Y
4110,2026,2,9200000070,1,WA,2026-02-18 00:00:00,2026-02-18 00:00:00,MIGO/CO11N,CNY,S,40,1408000000,委托加工物资-结转,164814.46,BSV-4120-NA-7928,库存变化/生产入库 BSV 自动过账科目测试,4120,MAT7900030,101/531,REF00000070,4000,BSV,4120,,7928,T030-00070,库存变动,库存变化/生产入库 BSV,Y,Y,Y
4390,2026,2,9200000071,1,WA,2026-02-23 00:00:00,2026-02-23 00:00:00,MIGO/CO11N,CNY,H,50,1408000000,委托加工物资-结转,107583.87,BSV-4130-NA-7900,库存变化/生产入库 BSV 自动过账科目测试,4130,MAT7900031,101/531,REF00000071,4000,BSV,4130,,7900,T030-00071,库存变动,库存变化/生产入库 BSV,Y,Y,Y
4110,2026,2,9200000072,1,WA,2026-02-27 00:00:00,2026-02-27 00:00:00,MIGO/CO11N,CNY,S,40,1408000000,委托加工物资-结转,162034.77,BSV-4130-NA-7920,库存变化/生产入库 BSV 自动过账科目测试,4130,MAT7900004,101/531,REF00000072,4000,BSV,4130,,7920,T030-00072,库存变动,库存变化/生产入库 BSV,Y,Y,Y
4390,2026,3,9200000073,1,WA,2026-03-03 00:00:00,2026-03-03 00:00:00,MIGO/CO11N,CNY,H,50,1408000000,委托加工物资-结转,189617.51,BSV-4150-NA-7900,库存变化/生产入库 BSV 自动过账科目测试,4150,MAT7900017,101/531,REF00000073,4000,BSV,4150,,7900,T030-00073,库存变动,库存变化/生产入库 BSV,Y,Y,Y
4110,2026,3,9200000074,1,WA,2026-03-08 00:00:00,2026-03-08 00:00:00,MIGO/CO11N,CNY,S,40,1408000000,委托加工物资-结转,217478.08,BSV-4150-NA-7920,库存变化/生产入库 BSV 自动过账科目测试,4150,MAT7900025,101/531,REF00000074,4000,BSV,4150,,7920,T030-00074,库存变动,库存变化/生产入库 BSV,Y,Y,Y
4390,2026,3,9200000075,1,WA,2026-03-13 00:00:00,2026-03-13 00:00:00,MIGO/CO11N,CNY,H,50,1408000000,委托加工物资-结转,39689.61,BSV-4150-NA-7921,库存变化/生产入库 BSV 自动过账科目测试,4150,MAT7900023,101/531,REF00000075,4000,BSV,4150,,7921,T030-00075,库存变动,库存变化/生产入库 BSV,Y,Y,Y
